"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"30.08.2019","66,7657","66,5718","66,8122","66,3116","0,29%"
"29.08.2019","66,5718","66,7779","66,8906","66,4315","-0,31%"
"28.08.2019","66,7779","66,4352","66,9534","66,3505","0,52%"
"27.08.2019","66,4352","66,0593","66,6895","66,0593","0,57%"
"26.08.2019","66,0593","65,9990","66,1425","65,8549","0,09%"
"23.08.2019","65,9990","65,6081","66,1938","65,5353","0,60%"
"22.08.2019","65,6081","65,7540","65,9159","65,4560","-0,22%"
"21.08.2019","65,7540","66,5455","66,5650","65,6492","-1,19%"
"20.08.2019","66,5455","66,8987","67,0161","66,4327","-0,53%"
"19.08.2019","66,8987","66,5148","67,0208","66,2737","0,58%"
"16.08.2019","66,5148","66,0533","66,5583","65,8631","0,70%"
"15.08.2019","66,0533","66,0531","66,5719","65,6800","0,00%"
"14.08.2019","66,0531","64,9112","66,1049","64,9112","1,76%"
"13.08.2019","64,9112","65,4132","65,8733","64,7982","-0,77%"
"12.08.2019","65,4132","65,2816","65,6800","65,2665","0,20%"
"09.08.2019","65,2816","65,0435","65,5219","65,0435","0,37%"
"08.08.2019","65,0435","65,3237","65,4239","65,0346","-0,43%"
"07.08.2019","65,3237","65,2723","65,6488","64,9631","0,08%"
"06.08.2019","65,2723","65,5195","65,5297","65,0004","-0,38%"
"05.08.2019","65,5195","65,2713","65,5939","64,8628","0,38%"
"02.08.2019","65,2713","64,3518","65,4140","64,3518","1,43%"
"01.08.2019","64,3518","63,6284","64,3773","63,6250","1,14%"
"31.07.2019","63,6284","63,5067","63,7801","63,2563","0,19%"
"30.07.2019","63,5067","63,4357","63,7248","63,2490","0,11%"
"29.07.2019","63,4357","63,3663","63,6257","63,3663","0,11%"
"26.07.2019","63,3663","63,2336","63,4933","63,0703","0,21%"
"25.07.2019","63,2336","63,2936","63,2975","62,8660","-0,09%"
"24.07.2019","63,2936","63,1609","63,3060","63,0116","0,21%"
"23.07.2019","63,1609","63,0960","63,3266","63,0841","0,10%"
"22.07.2019","63,0960","63,0295","63,1268","62,9305","0,11%"
"19.07.2019","63,0295","62,8087","63,0550","62,8026","0,35%"
"18.07.2019","62,8087","62,9353","63,1322","62,7676","-0,20%"
"17.07.2019","62,9353","63,0391","63,0418","62,7246","-0,16%"
"16.07.2019","63,0391","62,6628","63,0780","62,6494","0,60%"
"15.07.2019","62,6628","62,9505","62,9897","62,5655","-0,46%"
"12.07.2019","62,9505","62,8166","63,1919","62,8150","0,21%"
"11.07.2019","62,8166","63,1755","63,1800","62,7697","-0,57%"
"10.07.2019","63,1755","63,9014","63,9118","63,1217","-1,14%"
"09.07.2019","63,9014","63,6823","63,9381","63,6823","0,34%"
"08.07.2019","63,6823","63,8159","63,9788","63,4958","-0,21%"
"05.07.2019","63,8159","63,4766","63,8618","63,4375","0,53%"
"04.07.2019","63,4766","63,3220","63,5159","63,3196","0,24%"
"03.07.2019","63,3220","63,3110","63,6587","63,2836","0,02%"
"02.07.2019","63,3110","62,9730","63,3841","62,9601","0,54%"
"01.07.2019","62,9730","63,2305","63,2397","62,7962","-0,41%"
"28.06.2019","63,2305","63,0788","63,2768","62,8587","0,24%"
"27.06.2019","63,0788","63,0602","63,1348","62,9433","0,03%"
"26.06.2019","63,0602","62,8613","63,2246","62,7676","0,32%"
"25.06.2019","62,8613","62,5840","63,0229","62,4997","0,44%"
"24.06.2019","62,5840","63,0073","63,0250","62,5838","-0,67%"
"21.06.2019","63,0073","62,9100","63,5455","62,8903","0,15%"
"20.06.2019","62,9100","63,7783","63,7850","62,8732","-1,36%"
"19.06.2019","63,7783","64,0250","64,0485","63,7155","-0,39%"
"18.06.2019","64,0250","64,3192","64,3840","63,9222","-0,46%"
"17.06.2019","64,3192","64,3011","64,3525","64,1405","-0,11%"
"14.06.2019","64,3915","64,5806","64,5806","64,2199","-0,29%"
"13.06.2019","64,5806","64,5588","64,7037","64,5014","0,03%"
"11.06.2019","64,5588","64,7798","64,7798","64,4483","-0,34%"
"10.06.2019","64,7798","64,8700","64,8800","64,6364","-0,14%"
"07.06.2019","64,8700","65,0850","65,1459","64,7622","-0,33%"
"06.06.2019","65,0850","65,3773","65,3950","65,0258","-0,45%"
"05.06.2019","65,3773","65,1582","65,3877","64,9648","0,34%"
"04.06.2019","65,1582","65,3445","65,3445","65,0033","-0,29%"
"03.06.2019","65,3445","65,4306","65,5914","65,1698","-0,13%"
"31.05.2019","65,4306","65,1893","65,5838","65,1331","0,37%"
"30.05.2019","65,1893","64,9661","65,1975","64,8900","0,34%"
"29.05.2019","64,9661","64,7077","65,3771","64,7077","0,40%"
"28.05.2019","64,7077","64,4589","64,7413","64,4589","0,39%"
"27.05.2019","64,4589","64,4809","64,4991","64,3664","-0,03%"
"24.05.2019","64,4809","64,8495","64,8550","64,4082","-0,57%"
"23.05.2019","64,8495","64,3877","64,9204","64,3877","0,72%"
"22.05.2019","64,3877","64,4213","64,4700","64,1531","-0,05%"
"21.05.2019","64,4213","64,5266","64,6043","64,3503","-0,16%"
"20.05.2019","64,5266","64,7683","64,7774","64,4320","-0,37%"
"17.05.2019","64,7683","64,6215","64,7965","64,5597","0,23%"
"16.05.2019","64,6215","64,6534","64,6639","64,4030","-0,05%"
"15.05.2019","64,6534","64,9450","64,9557","64,4918","-0,45%"
"14.05.2019","64,9450","65,4278","65,4320","64,8605","-0,74%"
"13.05.2019","65,4278","65,1033","65,5447","65,0750","0,50%"
"10.05.2019","65,1033","65,0687","65,4374","65,0601","0,05%"
"08.05.2019","65,0687","65,3974","65,4075","64,9194","-0,50%"
"07.05.2019","65,3974","65,2236","65,4535","65,0155","0,27%"
"06.05.2019","65,2236","65,0880","65,4943","65,0580","0,21%"
"03.05.2019","65,0880","65,4368","65,5983","65,0215","-0,53%"
"02.05.2019","65,4368","64,6373","65,5574","64,6225","1,24%"
"30.04.2019","64,6373","64,4728","64,8585","64,3364","0,26%"
"29.04.2019","64,4728","64,7334","64,7545","64,4138","-0,40%"
"26.04.2019","64,7334","64,6565","64,8678","64,5910","0,12%"
"25.04.2019","64,6565","64,3406","64,9696","64,3225","0,49%"
"24.04.2019","64,3406","63,6853","64,4923","63,6853","1,03%"
"23.04.2019","63,6853","63,8083","63,8839","63,6600","-0,19%"
"22.04.2019","63,8083","64,0515","64,0515","63,7479","-0,38%"
"19.04.2019","64,0515","63,8939","64,0749","63,8925","0,25%"
"18.04.2019","63,8939","63,8584","64,1490","63,8453","0,06%"
"17.04.2019","63,8584","64,1045","64,1045","63,8009","-0,38%"
"16.04.2019","64,1045","64,2670","64,4387","64,0820","-0,25%"
"15.04.2019","64,2670","64,3497","64,3793","64,1838","-0,13%"
"12.04.2019","64,3497","64,6097","64,6273","64,1372","-0,40%"
"11.04.2019","64,6097","64,3223","64,7026","64,2925","0,45%"
"10.04.2019","64,3223","64,9032","64,9200","64,2182","-0,90%"
"09.04.2019","64,9032","64,8788","64,9440","64,6446","0,04%"
"08.04.2019","64,8788","65,3465","65,4474","64,8175","-0,72%"
"05.04.2019","65,3465","65,4796","65,4796","65,1690","-0,20%"
